id,customer_id,amount,status
1,9542,1262,delivered
2,4534,650,cancelled
3,4140,1790,delivered
4,4541,235,pending
5,7404,835,returned
6,2792,1533,cancelled
7,2220,799,delivered
8,4667,1349,shipped
9,4878,1584,cancelled
10,5811,1173,pending
11,6407,73,delivered
12,4088,708,returned
13,8445,438,returned
14,8450,684,returned
15,888,956,returned
16,9377,1988,cancelled
17,5962,1046,delivered
18,7381,1049,shipped
19,8141,685,cancelled
20,9047,157,cancelled
21,7815,1087,delivered
22,3574,637,pending
23,8009,1732,shipped
24,931,916,pending
25,7635,963,cancelled
26,1539,1812,shipped
27,5183,1356,pending
28,43,1017,returned
29,8759,456,cancelled
30,9567,330,shipped
31,3126,414,returned
32,5269,588,pending
33,3872,1861,shipped
34,6698,1201,returned
35,9897,706,shipped
36,9083,692,pending
37,3069,469,pending
38,2265,1914,cancelled
39,5162,410,shipped
40,7514,497,delivered
41,5424,1666,pending
42,4666,1286,cancelled
43,2554,547,returned
44,879,395,shipped
45,2097,513,delivered
46,7899,1007,pending
47,4785,878,returned
48,5403,1824,pending
49,9588,507,delivered
50,5144,763,delivered
51,7398,95,shipped
52,603,93,cancelled
53,1861,973,delivered
54,1207,408,cancelled
55,5066,553,delivered
56,9235,571,cancelled
57,6417,237,shipped
58,1766,1138,returned
59,4085,1908,returned
60,1528,1969,shipped
61,7826,1396,pending
62,6857,675,pending
63,7170,1515,cancelled
64,1694,1865,shipped
65,2767,1790,shipped
66,8865,1339,shipped
67,433,756,cancelled
68,4851,590,cancelled
69,9134,1433,delivered
70,4069,1384,pending
71,4206,769,delivered
72,5306,1671,delivered
73,9514,691,pending
74,2066,1995,cancelled
75,3478,1455,delivered
76,7024,23,cancelled
77,8167,1007,returned
78,9925,1652,delivered
79,3546,485,shipped
80,7998,849,shipped
81,9447,1491,returned
82,1012,548,cancelled
83,580,69,returned
84,2916,1431,shipped
85,6559,1168,cancelled
86,2329,1951,cancelled
87,9222,45,shipped
88,3011,316,pending
89,9245,919,delivered
90,5525,1395,pending
91,6561,223,cancelled
92,9921,86,cancelled
93,7574,58,pending
94,5584,1398,pending
95,2829,89,pending
96,3395,1206,shipped
97,4143,643,returned
98,544,946,cancelled
99,9817,984,shipped
100,1877,793,shipped
101,1211,1138,shipped
